Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.99,136.97,-0.01,-0.03,±0.30
,4,LINEAR,0,137,-0.05,136.98,-0.05,-0.02,±0.30
59,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,219.03,136.98,0.03,-0.02,±0.30
,4,LINEAR,0,137,0,136.97,0,-0.03,±0.30
60,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.92,0,-0.08,0,±0.30
,3,LINEAR,219,137,218.91,136.98,-0.09,-0.02,±0.30
,4,LINEAR,0,137,-0.09,137.02,-0.09,0.02,±0.30
61,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.96,137.01,-0.04,0.01,±0.30
,4,LINEAR,0,137,-0.01,137.02,-0.01,0.02,±0.30
62,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.01,136.96,0.01,-0.04,±0.30
,4,LINEAR,0,137,0.06,136.98,0.06,-0.02,±0.30
63,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.01,137,0.01,0,±0.30
,4,LINEAR,0,137,0,137.01,0,0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
64,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.96,137.02,-0.04,0.02,±0.30
,4,LINEAR,0,137,-0.02,136.95,-0.02,-0.05,±0.30
65,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.05,136.95,0.05,-0.05,±0.30
,4,LINEAR,0,137,0.02,137.03,0.02,0.03,±0.30
66,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.97,137,-0.03,0,±0.30
,4,LINEAR,0,137,-0.06,136.98,-0.06,-0.02,±0.30
67,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219,137,0,0,±0.30
,4,LINEAR,0,137,0,136.93,0,-0.07,±0.30
68,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.96,137.04,-0.04,0.04,±0.30
,4,LINEAR,0,137,-0.01,136.94,-0.01,-0.06,±0.30
69,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,218.98,136.99,-0.02,-0.01,±0.30
,4,LINEAR,0,137,-0.01,136.98,-0.01,-0.02,±0.30
70,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.01,137.01,0.01,0.01,±0.30
,4,LINEAR,0,137,0.03,136.99,0.03,-0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
71,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219,137.05,0,0.05,±0.30
,4,LINEAR,0,137,0.06,137.01,0.06,0.01,±0.30
72,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.91,0,-0.09,0,±0.30
,3,LINEAR,219,137,218.99,136.97,-0.01,-0.03,±0.30
,4,LINEAR,0,137,-0.07,136.93,-0.07,-0.07,±0.30
73,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.05,137,0.05,0,±0.30
,4,LINEAR,0,137,0.01,137.05,0.01,0.05,±0.30
74,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.01,0,0.01,0,±0.30
,3,LINEAR,219,137,218.97,136.96,-0.03,-0.04,±0.30
,4,LINEAR,0,137,0,136.92,0,-0.08,±0.30
75,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,219.09,136.82,0.09,-0.18,±0.30
,4,LINEAR,0,137,0.14,137.07,0.14,0.07,±0.30
76,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,218.96,137.08,-0.04,0.08,±0.30
,4,LINEAR,0,137,0.04,136.91,0.04,-0.09,±0.30
77,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.02,0,0.02,0,±0.30
,3,LINEAR,219,137,219.01,137.06,0.01,0.06,±0.30
,4,LINEAR,0,137,0.03,136.95,0.03,-0.05,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
78,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.01,0,0.01,0,±0.30
,3,LINEAR,219,137,219.02,136.91,0.02,-0.09,±0.30
,4,LINEAR,0,137,0.03,137.06,0.03,0.06,±0.30
79,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.88,0,-0.12,0,±0.30
,3,LINEAR,219,137,218.98,137.02,-0.02,0.02,±0.30
,4,LINEAR,0,137,0.06,136.92,0.06,-0.08,±0.30
80,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.96,136.96,-0.04,-0.04,±0.30
,4,LINEAR,0,137,0.02,136.9,0.02,-0.1,±0.30
81,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,218.96,136.95,-0.04,-0.05,±0.30
,4,LINEAR,0,137,0.08,136.98,0.08,-0.02,±0.30
82,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.05,0,0.05,0,±0.30
,3,LINEAR,219,137,219,136.97,0,-0.03,±0.30
,4,LINEAR,0,137,0.12,136.99,0.12,-0.01,±0.30
83,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.99,136.97,-0.01,-0.03,±0.30
,4,LINEAR,0,137,0.03,136.93,0.03,-0.07,±0.30
84,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.01,0,0.01,0,±0.30
